state,visit_count,best_action,best_discount,best_commission_tier,best_q_value,avg_q_value,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4,q_action_5,q_action_6,q_action_7,q_action_8,q_action_9,q_action_10,q_action_11,q_action_12,q_action_13,q_action_14,q_action_15,q_action_16,q_action_17,q_action_18,q_action_19
0,2894.0,3,0.8,3,0.7533386550003186,0.4135014391402686,0.6233694539588948,0.7121732094535919,0.24855675216901524,0.7533386550003186,0.5394666872944024,0.661903754433081,0.28404313071546156,0.24888245780405596,0.24914365332398955,0.5008923943930003,0.2492254989091104,0.26684432807360264,0.22944885071907561,0.24880427701357855,0.2297255134646894,0.6932422113651864,0.3446172069594986,0.22967103472966896,0.7271023738095455,0.22957733921560522
1,26.0,7,0.85,3,0.7471837677858937,0.053109517166470444,0.01164665004549655,0.0,0.0,0.055668304114508696,0.06462877452379415,0.0,0.0,0.7471837677858937,0.0,0.022619596269298162,0.0,0.0,0.0,0.011096084125842252,0.059635664347475,0.0,0.0,0.06522013165258209,0.0,0.02449137046451811
3,1478.0,16,1.0,0,0.7558320438180401,0.36175207759693656,0.312427549166422,0.31291712834559643,0.28955151658649636,0.31318796802212023,0.3945294532827413,0.3349519060428972,0.31267405569571777,0.3349001935504985,0.3348096474767341,0.3132451916712746,0.3350984296188918,0.3130685469347624,0.3129697111381244,0.3562991272875832,0.3125719726912771,0.37556324184815715,0.7558320438180401,0.48756544710135513,0.37602484013483706,0.3568535815252028
4,15.0,18,1.0,2,0.4018170192484096,0.03428096455823766,0.010664321633504543,0.0,0.06569999375757381,0.0,0.0,0.0,0.03745776984313341,0.054938195359918666,0.0,0.0,0.056805762171491386,0.0,0.0,0.0,0.0,0.05823622915072172,0.0,0.0,0.4018170192484096,0.0
6,8340.0,3,0.8,3,0.7682640376302295,0.5449984312115115,0.28934719525123753,0.7104074922456383,0.452996940749569,0.7682640376302295,0.6782050015417299,0.7666980981719584,0.6392956737498398,0.7491723549061982,0.3497386532036041,0.2799160659502589,0.7401883219899625,0.24773037957040242,0.32380115459923886,0.433430945753546,0.4015652067484016,0.6554253176515846,0.6113535656613311,0.7251148010476254,0.5141063441961868,0.5632110736116865
7,45.0,0,0.8,0,1.044168448658991,0.0618442392220124,1.044168448658991,0.011834250025096853,0.0,0.012989479630992166,0.0,0.0,0.01931406180603719,0.0,0.0,0.0,0.0,0.027122465925963492,0.0,0.01933980709493501,0.02753964296016664,0.0,0.062086000793036236,0.0,0.0,0.012490627545029595
9,7320.0,10,0.9,2,0.7657036843448063,0.514719440582093,0.6760081806887138,0.25700118768050384,0.6446562474767409,0.2571025104540787,0.6106023229314762,0.32682484501063136,0.5872533408872356,0.724283135878979,0.268457696588295,0.7425365663107254,0.7657036843448063,0.30881334543780725,0.4593882671438085,0.37540369899739634,0.5576111778023681,0.26866301668383386,0.7075116792347381,0.7442654015520963,0.7550627169496994,0.25723978958792504
10,9.0,11,0.9,3,0.2767503522650918,0.018253541952650575,0.0,0.0,0.0,0.0,0.019817184550306455,0.0,0.0,0.0,0.0,0.0,0.0,0.2767503522650918,0.0,0.0,0.0,0.009052467831653572,0.0,0.0,0.059450834405959656,0.0
12,14305.0,4,0.85,0,0.7689946387066539,0.5963903877716644,0.338471957212255,0.6509160767692537,0.3726624727119161,0.7512146050132816,0.7689946387066539,0.3631150848126874,0.4125446079982736,0.5849959196571551,0.7053624016263449,0.7473607340212964,0.7442895092576176,0.7390562987656611,0.7282977904296174,0.5177609615766993,0.3224800009243595,0.7442351230038657,0.44289574782504004,0.4863376919157656,0.7446112480994344,0.7622048851061092
13,137.0,6,0.85,2,1.3288306701939814,0.12941910456325612,0.003142742572479418,0.11715316016305705,0.014048734515735802,0.09454048214334529,0.003763686132583394,0.10148371188294833,1.3288306701939814,0.028595699787061907,0.018677854951362996,0.016671635319414204,0.12011705516603116,0.025844229751345673,0.12348210947671866,0.012275499211908089,0.09483266177546479,0.014122335169454587,0.11839149520126543,0.11898578883692096,0.11872756937069848,0.11469496964334483
15,9726.0,12,0.95,0,0.7650953988410535,0.5043289510449787,0.3564135864033427,0.39333331876329125,0.4313196274345929,0.5816072308586367,0.318799042265943,0.5452917842242617,0.46381826264594994,0.2811404680229241,0.24304390941848666,0.26797471475804874,0.27469578637345804,0.7586373691368581,0.7650953988410535,0.4927859682996362,0.7516009210031406,0.7455541662355403,0.7328771397645312,0.7453399716336875,0.679041371771411,0.25820898304477863
16,90.0,1,0.8,1,1.2532846387473022,0.13359888608427076,0.003950691716308606,1.2532846387473022,0.008594230489876568,0.12322424653577266,0.10312106049727404,0.017794481453056184,0.12156600309335094,0.10350066873174842,0.1251187606906946,0.023849418138198825,0.016396353871397217,0.11305792227719375,0.11430543833482228,0.11582855940155593,0.005217534698484153,0.12246256774436505,0.1211428439673568,0.03279939534942399,0.025005727661727484,0.12175717828550521
18,2437.0,1,0.8,1,0.7995914389750137,0.4167259522958736,0.4239259002839758,0.7995914389750137,0.28084258921909183,0.25094687522619785,0.2527816562472333,0.25255150165334866,0.28130154166693117,0.7002897084701938,0.2809038772504326,0.25322911096680273,0.3065625007315733,0.30511555488031117,0.7213452010770104,0.7014233096298061,0.2533838918162836,0.6498653472152934,0.20346942295138604,0.6516439742871587,0.4849476562924564,0.2803979870769743
19,697.0,6,0.85,2,1.3484344209176098,0.2996051445891902,0.22614433628500039,0.1913033951460417,0.192346797034178,0.190040780505228,0.19449096748859282,0.1930763516559812,1.3484344209176098,0.19129389551360954,0.19367129779212813,0.19166420482619048,0.19515331537279446,0.18989130738518134,1.1532418319364341,0.19340386064240772,0.19488168573059628,0.1925736136272901,0.19206554646644688,0.18920402502247421,0.1893762458552773,0.189845012580341
20,240.0,14,0.95,2,1.453031923874213,0.17085173275925508,0.09048337967855616,0.08968732430910813,0.09273255006974605,0.08819010058089911,0.09150155569397726,0.0923344579010685,0.07532582065626107,0.08493160759636537,0.16090159291225203,0.013591783694963479,0.0861679759425029,0.0915794722286337,0.16573677765952588,0.07805785412590151,1.453031923874213,0.16231151154802975,0.078522705297801,0.08931435920481294,0.1647927489922243,0.16783915321825882
21,3138.0,5,0.85,1,0.794681305560223,0.5218882282420733,0.49353779557790467,0.5086418232013518,0.5991159026142384,0.49288835519886187,0.49439196481576125,0.794681305560223,0.494167514882954,0.47851590910185976,0.5094466766992177,0.564596699117332,0.4786896521309527,0.5236282732868881,0.47774234381562003,0.4785170878250839,0.5515207762031687,0.5247316739840827,0.5381559512552576,0.4617658785467533,0.47881000219083364,0.4942189788331186
22,405.0,2,0.8,2,1.3170509720758201,0.23832804146683642,0.1788390211075836,0.1775123718660642,1.3170509720758201,0.1698162443321876,0.17656402022590315,0.18976696416417077,0.13774350631057367,0.17753597099803817,0.1910238543926588,0.17497850555186306,0.14290750853406875,0.41766762726100737,0.17680934140076485,0.17622381187404948,0.13923364321397674,0.18558073853599374,0.17659938117708332,0.1406770967916718,0.17804148913980167,0.14198876038344757
